i;t;s;bs;T;
279;10.291;2987.48;2966.12;65.61;
280;10.315;2987.48;2966.12;65.61;
281;10.333;2987.19;2966.12;65.61;
282;10.358;2987.19;2966.12;65.61;
283;10.375;2987.61;2966.12;65.61;
284;10.389;2987.7;2966.12;65.61;
285;10.411;2983.8;2966.12;65.61;
286;10.426;2984.75;2966.12;65.61;
287;10.446;2979.75;2966.12;65.61;
288;10.466;2981.12;2966.12;65.61;
289;10.484;2979.8;2966.12;65.61;
290;10.51;2983.69;2966.12;65.61;
291;10.529;2983.69;2966.12;65.61;
292;10.549;2980.15;2966.12;65.61;
293;10.569;2980.06;2966.12;65.61;
294;10.583;2980.06;2966.12;65.61;
295;10.602;2979.97;2966.12;65.61;
296;10.62;2975.87;2966.12;65.61;
297;10.643;2972.33;2966.12;65.61;
298;10.659;2973.52;2966.12;65.61;
299;10.674;2973.52;2966.12;65.61;
300;10.692;2970.51;2966.12;65.61;
301;10.708;2970.5;2966.12;65.61;
302;10.731;2976.12;2966.12;65.61;
303;10.752;2975.03;2966.12;65.61;
304;10.772;2978.08;2966.12;65.61;
305;10.797;2981.41;2966.12;65.61;
306;10.811;2980.9;2966.12;65.61;
307;10.836;2980.9;2966.12;65.61;
308;10.86;2980.99;2966.12;65.61;
309;10.876;2980.75;2966.12;65.61;
310;10.897;2980.75;2966.12;65.61;
311;10.912;2982.39;2966.12;65.61;
312;10.931;2987.28;2966.12;65.61;
313;10.954;2989.98;2966.12;65.61;
314;10.968;2989.47;2966.12;65.61;
315;10.988;2986.14;2966.12;65.61;
316;11.003;2987.41;2966.12;65.61;
317;11.027;2986.46;2966.12;65.61;
318;11.049;2986.04;2966.12;65.61;
319;11.064;2986.04;2966.12;65.61;
320;11.085;2986.04;2966.12;65.61;
321;11.1;2986.04;2966.12;65.61;
322;11.118;2989.84;2966.12;65.61;
323;11.137;2987.89;2966.12;65.61;
324;11.155;2987.6;2966.12;65.61;
325;11.177;2987.6;2966.12;65.61;
326;11.196;2982.45;2966.12;65.61;
327;11.217;2975.68;2966.12;65.61;
328;11.239;2976.1;2966.12;65.61;
329;11.258;2976.01;2966.12;65.61;
330;11.28;2979.49;2966.12;65.61;
331;11.303;2980.36;2966.12;65.61;
332;11.321;2979;2966.12;65.61;
333;11.342;2979;2966.12;65.61;
334;11.365;2978.96;2966.12;65.61;
335;11.381;2978.55;2966.12;65.61;
336;11.402;2978.55;2966.12;65.61;
337;11.419;2980.39;2966.12;65.61;
338;11.441;2976.75;2966.12;65.61;
339;11.458;2976.75;2966.12;59.049;
340;11.472;2974.91;2966.12;59.049;
341;11.491;2975.33;2966.12;59.049;
342;11.507;2971.85;2966.12;59.049;
343;11.528;2971.85;2966.12;59.049;
344;11.542;2971.88;2966.12;59.049;
345;11.559;2971.9;2966.12;59.049;
346;11.577;2995.68;2966.12;59.049;
347;11.6;3003.52;2966.12;59.049;
348;11.618;3004.88;2966.12;59.049;
349;11.643;3007.19;2966.12;59.049;
350;11.662;3007.16;2966.12;59.049;
351;11.679;2999.33;2966.12;59.049;
352;11.699;2999.36;2966.12;59.049;
353;11.72;2999.36;2966.12;59.049;
354;11.736;2999.41;2966.12;59.049;
355;11.756;2999.16;2966.12;59.049;
356;11.774;2999.25;2966.12;59.049;
357;11.793;2997.89;2966.12;59.049;
358;11.809;2998.38;2966.12;59.049;
359;11.823;2998.38;2966.12;59.049;
360;11.84;2998.38;2966.12;59.049;
361;11.855;3003.14;2966.12;59.049;
362;11.872;2998.38;2966.12;59.049;
363;11.89;3007.6;2966.12;59.049;
364;11.907;2998.38;2966.12;59.049;
365;11.922;2974.6;2966.12;59.049;
366;11.941;2970.68;2966.12;59.049;
367;11.955;2974.15;2966.12;59.049;
368;11.972;2979.15;2966.12;59.049;
369;11.988;2981.49;2966.12;59.049;
370;12.005;2980.96;2966.12;59.049;
371;12.021;2980.96;2966.12;59.049;
372;12.039;2977.19;2966.12;59.049;
373;12.054;2973.71;2966.12;59.049;
374;12.072;2977.64;2966.12;59.049;
375;12.087;2975.15;2966.12;59.049;
376;12.105;2974.23;2966.12;59.049;
377;12.12;2969.23;2966.12;59.049;
378;12.213;2965.29;2965.29;59.049;
379;12.235;2977.11;2965.29;59.049;
380;12.251;2974.71;2965.29;59.049;
